機能カテゴリ,機能名,詳細内容,工数（人時）,難易度,備考
基本UI設計,レイアウト設計,メインレイアウト・ヘッダー・サイドバーの実装,8,中級,レスポンシブ対応含む
基本UI設計,表示モード切替,階層表示とテーブル表示の切り替え機能,6,中級,状態管理含む
データモデル,型定義,TypeScript型定義の作成（Organization/Company/Site/User）,4,初級,client.ts
データモデル,モックデータ作成,テスト用のサンプルデータ作成,3,初級,複数パターンのデータ
一覧表示,階層ビュー,クライアント・会社・サイトの階層表示,12,上級,ツリー構造の実装
一覧表示,テーブルビュー,クライアント情報のテーブル表示,8,中級,ソート可能なテーブル
一覧表示,ページネーション,大量データ対応のページング機能,4,初級,10/20/50件切替
検索機能,テキスト検索,クライアント名・会社名・サイト名での検索,6,中級,リアルタイム検索
フィルタリング,契約ステータス,契約中・終了・停止中でのフィルタリング,4,初級,複数選択可能
フィルタリング,サブスクプラン,Free/Basic/Premium/Enterpriseでのフィルタリング,4,初級,複数選択可能
フィルタリング,分析機能,分析機能・ヒートマップの有効/無効フィルター,4,初級,複数選択可能
フィルタリング,日付範囲,契約開始日・終了日・最終ログイン日での絞り込み,6,中級,日付ピッカー実装
ソート機能,テーブルソート,会社名・ステータス・プラン等でのソート,6,中級,昇順/降順切替
ソート機能,ソート状態管理,ソート条件の保持とリセット機能,3,初級,状態管理
編集機能,クライアント情報編集,CompanyEditModalの実装,10,中級,バリデーション含む
編集機能,契約期間管理,ContractPeriodModalの実装,8,中級,日付選択・ステータス変更
編集機能,契約プラン管理,ContractPlanModalの実装,10,中級,プラン選択・ポイント計算
編集機能,会社設定,CompanySettingsModalの実装,8,中級,リソース上限設定
ヒートマップ機能,利用可能数設定,ヒートマップ利用可能数の個別設定機能,6,中級,新規追加機能
ヒートマップ機能,設定UI追加,契約プラン編集画面への設定UI追加,4,初級,条件付き表示
ヒートマップ機能,データ永続化,設定値の保存と読み込み処理,4,中級,状態管理
代理ログイン,ProxyLoginModal,代理ログイン機能の実装,8,上級,セキュリティ考慮
代理ログイン,セッション管理,ログインセッションの管理機能,6,上級,有効期限管理
契約情報,ContractInfoModal,契約詳細情報の表示モーダル,6,初級,読み取り専用
エクスポート,CSV出力,クライアントデータのCSVエクスポート,6,中級,文字コード対応
エクスポート,データ整形,エクスポート用のデータ整形処理,4,初級,フォーマット変換
表示最適化,使用率表示削除,サイト・ポイント使用率の表示削除,3,初級,UI簡素化
表示最適化,ユーザー数削除,ユーザー数表示の削除,2,初級,UI簡素化
パフォーマンス,仮想スクロール,大量データ表示の最適化,8,上級,React仮想化
パフォーマンス,メモ化,useMemoによる計算結果のキャッシュ,4,中級,再レンダリング最適化
アクセシビリティ,キーボード操作,モーダルのキーボード操作対応,4,中級,ESCキー・Tab操作
アクセシビリティ,ARIA属性,スクリーンリーダー対応,3,初級,適切なラベル付け
レスポンシブ,モバイル対応,スマートフォン表示の最適化,6,中級,ブレークポイント設定
レスポンシブ,タブレット対応,タブレット表示の最適化,4,初級,中間サイズ対応
テスト,単体テスト,コンポーネントの単体テスト作成,12,中級,Jest/React Testing Library
テスト,統合テスト,機能間の統合テスト作成,8,中級,E2Eテスト
バグ修正,デバッグ作業,実装中のバグ修正作業,8,中級,想定工数
ドキュメント,技術文書,実装仕様書の作成,4,初級,コンポーネント仕様
ドキュメント,運用手順書,管理者向け操作マニュアル,4,初級,画面キャプチャ含む
合計,,,244,,

備考：
- 工数は実装とコードレビューを含む
- テスト工数は実装工数の約20%で算出
- 難易度は技術的複雑さと実装規模を考慮
- React/TypeScript/Tailwind CSSを使用した実装を想定
- 状態管理はReact Hooksを使用
- バックエンドAPI連携は含まれていない（モックデータ使用）